Registry,Assignment,Organization Name,Organization Address
CID,4A7206,"CAIRE, Inc.","2200 Airport Industrial Dr., Suite 500 Ball Ground GA US 30107 "
CID,9AADCA,Credo,"1900 McCarthy Blvd, Suite 420 Milpitas CA US 95035 "
CID,3A5E03,"Cirrus Data Solutions, Inc","6800 Jericho Turnpike, suite 213W Syosset  NY US 11791 "
CID,9AB2F8,SFF Committee,14426 Black Walnut Court Saratoga CA US 95070 
CID,FAF9C0,RAID Incorporated,200 Brickstone Square Andover MA US 01810 
CID,FAE190,IN WIN DEVELOPMENT INC.,"NO.57,LANE 350, NANSHANG ROAD, GUEISHAN HSIANG, TAOYUAN HSIEN, TW 333 "
CID,4ADA10,Emotiva Audio Corp,135 SE Parkway Court Franklin TN US 37064 
CID,7AAB77,Orange,4 rue du Clos Courtel Cesson Sevigne France FR 35512 
CID,FA073E,NBASE-T Alliance,3855 SW 153rd Drive Beaverton OR US 97003 
CID,CA446C,"Cypress Computer Systems, Inc.",1778 Imlay City Rd Lapeer MI US 48446 
CID,FA4C77,OCCITALINE,Allée du Quercy COLOMIERS  FR 31770 
CID,2AA147,DISTRIBUCIONES CANTILEVER,"calle Buenavista #35, Colonia Lindavista Norte, Delegación Gustavo A. Madero Cuidad de México CDMX MX 07300 "
CID,CA222B,"Beijing Puma Gear Power Equipment Co.,Ltd","Rm. 10C06, Changyin Mansion,No. 88 Yongding Road,  Haidian District Beijing Beijing CN 100037 "
CID,FAEEB6,"Shenzhen Jiahua Zhongli Technology Co., LTD","Rm1807, Building 11, Tian'An Cloud Park, Phase 2, Bantian subdistrict, Longgang district, Shenzhen shenzhen guangdong CN 518172 "
CID,5A6BB4,Xconn Technologies,"1245 S. Winchester Blvd, Suite 208 San Jose CA US 95128 "
CID,8A7DB3,"Evolv Technology, Inc.",500 Totten Pond Road 4th Floor Waltham MA US 02451 
CID,DA19B3,LG Uplus,"80-17 Gwhak-ro, Yuseong-gu Daejeon  KR 34132 "
CID,EABEA7,"Sonos, Inc.",614 Chapala St Santa Barbara CA US 93101 
CID,0AA23B,Vitex LLC,"210 Sylvan Ave, Suite 25 Englewood Cliffs NJ US 07632 "
CID,2AAC53,Wolfspyre Labs,5007 Highland Ct #WPL-IEEE Austin TX US 78731 
CID,CA1E45,ASMedia Technology Inc.,"6F, No.115, Minquan Rd., New Taipei City  TW 23141 "
CID,8A0AF7,"Montage Technology Co,.LTD","6/F, BlockA, Technology Building,900 Yishan Road, Shanghai  CN 200233 "
CID,7A4D2F,Open Compute Project,"13785 Research Blvd, Suite 125 Austin TX US 78750 "
CID,6AE732,"UNIS-WDC Storage Co.,Ltd","1202 Block B, Truth Plaza, No.7 ZhiChun Road, HaiDian District Beijing Beijing CN 100191 "
CID,BA07DA,Infinix mobility limited,"RMS 05-15, 13A/F SOUTH TOWER WORLD FINANCE CTR HARBOUR CITY 17 CANTON RD TST KLN HONG KONG HongKong HongKong HK 999077 "
CID,AA34D4,CDVI Wireless SpA,via Piave 23 San Pietro di Feletto Treviso IT 31020 
CID,CA3782,"Storbyte, Inc.",1800 Washington Blvd Suite 412 Baltimore MD US 21230 
CID,CA2B5E,"Suzhou Motor-comm Electronic Technology Co.,Ltd","Rm201, Bldg#4, No.78 Keling Road, Hi-Tech New District, China Suzhou Jiangsu CN 215163 "
CID,FA6673,NELLS ELECTRONIC SYSTEMS (NES),"THAPASYA, KALAPARAMBATH (H), MATHILAKAM P.O THRISSUR KERALA IN 680685 "
CID,0ACD8F,Cisco Systems Norway,Phillip Pedersensvei 1 Lysaker  NO 1366 
CID,4ACA3E,ZEUS,"161-6, Gyeonggi-dong-ro OSAN Gyeonggi KR 18148 "
CID,DA4162,Xperi Corporation,5220 Las Virgenes Rd Calabasas  US 91302 
CID,4A7F74,INTEC Inc.,"1-1-25 Shin-urashima-cho, Kanagawa-ku Yokohama-shi Kanagawa-ken JP 221-0031 "
CID,8AA5C1,Ranovus USA,465 Fairchild Dr #109 Mountain View CA US 94043 
CID,CA8FA5,"Advanced TS Migrations, Co",PO BOX 478 ELLENTON FL US 34222 
CID,AA548B,Tintri,303 Ravendale Dr Mountain View CA US 94070 
CID,8AB3DA,"HomePlug Powerline Alliance, Inc.","10260 SW Greenburg Road, Suite 400 Portland OR US 97223 "
CID,DA2BDD,"AT&T, Inc.","4509 Friedrich Lane, Bldg 3 Austin  US 78744 "
CID,8AC72E,"Roku, Inc.",12980 Saratoga Ave Saratoga CA US 95070 
CID,CAC87E,Allen Organ Company,150 LOCUST ST MACUNGIE PA US 18062 
CID,EA9FB1,Philips International B.V.,High Tech Campus 5 Eindhoven Noord Brabant NL 5656 AE 
CID,6A737D,25G Ethernet Consortium,3855 SW 153rd Dr Beaverton OR US 97003 
CID,6AE64A,S&O Electronics (Malaysia) Sdn. Bhd.,Lot 202 Sungai Petani Kedah MY 08000 
CID,1A9021,Physical Security Interoperability Alliance,65 Washington St.  Suite 170 Santa Clara CA US 95050 
CID,4AE568,leapio,"beijing,haidian beijing beijing CN 100000 "
CID,5AED67,GoldiLink Technology Corp.,"Address: 6F.-2, No. 38, Beida Rd., Hsinchu City 300024 , Taiwan  Hsinchu City   TW 300024 "
